conteo,tupla,X,L,M,T
1,1|13|32|37|43,180.0,150,150|210,150|210
1,1|14|15|18|25,180.0,191,191|169,191|169
1,1|14|18|22|43,180.0,65,65|295,65|295
1,1|15|19|21|42,180.0,195,195|165,195|165
1,1|18|19|34|40,180.0,70,70|290,70|290
1,1|18|22|30|39,180.0,302,302|58,302|58
1,1|19|31|37|39,180.0,110,110|250,110|250
1,1|20|36|39|43,180.0,356,356|4,356|4
1,1|22|31|32|37,180.0,331,331|29,331|29
1,1|27|31|34|36,180.0,333,333|27,333|27
1,2|3|4|5|29,180.0,57,57|303,57|303
1,2|3|4|12|16,180.0,96,96|264,96|264
1,2|3|18|21|36,180.0,88,88|272,88|272
1,2|3|22|28|37,180.0,224,224|136,224|136
1,2|4|6|7|13,180.0,211,211|149,211|149
1,2|4|9|15|24,180.0,308,308|52,308|52
1,2|4|10|17|37,180.0,303,303|57,303|57
1,2|4|12|18|35,180.0,165,165|195,165|195
1,2|4|16|30|40,180.0,193,193|167,193|167
1,2|5|7|9|28,180.0,297,297|63,297|63
1,2|5|9|11|42,180.0,227,227|133,227|133
1,2|5|9|34|42,180.0,214,214|146,214|146
1,2|6|16|23|43,180.0,282,282|78,282|78
1,2|7|9|12|34,180.0,44,44|316,44|316
1,2|7|14|25|31,180.0,23,23|337,23|337
1,2|8|9|12|39,180.0,102,102|258,102|258
1,2|8|9|25|33,180.0,74,74|286,74|286
1,2|8|14|19|28,180.0,29,29|331,29|331
1,2|8|20|25|27,180.0,241,241|119,241|119
1,2|9|12|34|40,180.0,345,345|15,345|15
1,2|9|17|27|42,180.0,80,80|280,80|280
1,2|10|14|34|40,180.0,142,142|218,142|218
1,2|10|16|23|25,180.0,94,94|266,94|266
1,2|10|21|23|35,180.0,311,311|49,311|49
1,2|10|27|30|31,180.0,18,18|342,18|342
1,2|11|18|23|43,180.0,113,113|247,113|247
1,2|11|24|28|39,180.0,98,98|262,98|262
1,2|11|26|32|41,180.0,48,48|312,48|312
1,2|11|26|33|40,180.0,228,228|132,228|132
1,2|11|33|36|38,180.0,122,122|238,122|238
1,2|12|16|26|30,180.0,132,132|228,132|228
1,2|13|14|26|42,180.0,289,289|71,289|71
1,2|13|25|36|43,180.0,229,229|131,229|131
1,2|14|16|17|31,180.0,91,91|269,91|269
1,2|14|21|27|28,180.0,296,296|64,296|64
1,2|18|29|37|39,180.0,128,128|232,128|232
1,2|19|22|25|37,180.0,15,15|345,15|345
1,2|19|22|28|32,180.0,180,180|180,180|180
1,2|21|27|36|40,180.0,6,6|354,6|354
1,2|22|24|27|37,180.0,31,31|329,31|329
1,3|4|9|20|32,180.0,342,342|18,342|18
1,3|4|20|25|37,180.0,144,144|216,144|216
1,3|4|22|40|41,180.0,157,157|203,157|203
1,3|4|31|34|43,180.0,153,153|207,153|207
1,3|5|30|37|39,180.0,172,172|188,172|188
1,3|6|23|25|38,180.0,192,192|168,192|168
1,3|7|11|19|25,180.0,176,176|184,176|184
1,3|7|11|39|41,180.0,186,186|174,186|174
1,3|7|12|12|40,180.0,49,49|311,49|311
1,3|7|14|19|22,180.0,168,168|192,168|192
1,3|7|23|30|35,180.0,92,92|268,92|268
1,3|8|10|15|39,180.0,218,218|142,218|142
1,3|8|25|28|40,180.0,137,137|223,137|223
1,3|10|13|21|38,180.0,314,314|46,314|46
1,3|10|16|25|41,180.0,97,97|263,97|263
1,3|10|20|30|39,180.0,105,105|255,105|255
1,3|10|32|40|42,180.0,169,169|191,169|191
1,3|11|18|24|37,180.0,263,263|97,263|97
1,3|11|27|39|41,180.0,146,146|214,146|214
1,3|12|24|25|26,180.0,125,125|235,125|235
1,3|13|14|17|23,180.0,332,332|28,332|28
1,3|15|20|23|25,180.0,159,159|201,159|201
1,3|16|18|30|34,180.0,236,236|124,236|124
1,3|16|19|20|23,180.0,244,244|116,244|116
1,3|17|25|39|42,180.0,145,145|215,145|215
1,3|18|34|42|43,180.0,215,215|145,215|145
1,3|19|20|21|28,180.0,19,19|341,19|341
1,3|20|22|24|36,180.0,240,240|120,240|120
1,3|20|33|34|40,180.0,347,347|13,347|13
1,3|22|26|29|36,180.0,220,220|140,220|140
1,3|23|28|29|32,180.0,295,295|65,295|65
1,3|23|31|35|40,180.0,257,257|103,257|103
1,3|26|33|34|38,180.0,348,348|12,348|12
1,3|30|32|38|41,180.0,36,36|324,36|324
1,4|5|9|13|40,180.0,329,329|31,329|31
1,4|5|13|16|41,180.0,33,33|327,33|327
1,4|6|14|17|29,180.0,343,343|17,343|17
1,4|7|10|36|41,180.0,261,261|99,261|99
1,4|8|12|17|35,180.0,116,116|244,116|244
1,4|8|18|25|29,180.0,47,47|313,47|313
1,4|8|19|20|35,180.0,100,100|260,100|260
1,4|8|32|34|40,180.0,151,151|209,151|209
1,4|9|10|35|40,180.0,103,103|257,103|257
1,4|9|14|31|34,180.0,61,61|299,61|299
1,4|9|15|24|29,180.0,78,78|282,78|282
1,4|9|20|35|43,180.0,56,56|304,56|304
1,4|10|20|32|33,180.0,135,135|225,135|225
1,4|11|12|16|26,180.0,148,148|212,148|212
1,4|11|14|16|36,180.0,107,107|253,107|253
1,4|11|22|25|26,180.0,26,26|334,26|334
1,4|12|15|33|42,180.0,68,68|292,68|292
1,4|13|14|16|33,180.0,232,232|128,232|128
1,4|13|24|39|41,180.0,85,85|275,85|275
1,4|13|25|31|33,180.0,188,188|172,188|172
1,4|15|22|23|38,180.0,316,316|44,316|44
1,4|17|27|28|42,180.0,268,268|92,268|92
1,4|17|36|37|43,180.0,189,189|171,189|171
1,4|22|26|29|36,180.0,217,217|143,217|143
1,4|23|27|29|34,180.0,277,277|83,277|83
1,4|24|28|36|39,180.0,323,323|37,323|37
1,5|6|7|12|37,180.0,357,357|3,357|3
1,5|6|7|28|32,180.0,32,32|328,32|328
1,5|6|9|39|42,180.0,272,272|88,272|88
1,5|6|14|16|35,180.0,276,276|84,276|84
1,5|6|14|26|31,180.0,252,252|108,252|108
1,5|7|20|34|37,180.0,235,235|125,235|125
1,5|8|10|13|20,180.0,66,66|294,66|294
1,5|8|11|16|32,180.0,7,7|353,7|353
1,5|8|12|17|43,180.0,63,63|297,63|297
1,5|12|25|26|43,180.0,30,30|330,30|330
1,5|13|14|26|31,180.0,101,101|259,101|259
1,5|13|14|35|42,180.0,205,205|155,205|155
1,5|13|22|34|43,180.0,194,194|166,194|166
1,5|14|28|31|39,180.0,40,40|320,40|320
1,5|16|26|32|36,180.0,162,162|198,162|198
1,5|18|19|25|41,180.0,209,209|151,209|151
1,5|20|27|30|38,180.0,181,181|179,181|179
1,5|23|24|29|43,180.0,198,198|162,198|162
1,5|23|26|32|38,180.0,62,62|298,62|298
1,5|24|27|32|35,180.0,55,55|305,55|305
1,5|29|33|34|39,180.0,39,39|321,39|321
1,5|33|34|41|43,180.0,225,225|135,225|135
1,6|7|8|27|34,180.0,154,154|206,154|206
1,6|8|13|14|37,180.0,163,163|197,163|197
1,6|8|13|28|29,180.0,117,117|243,117|243
1,6|8|13|29|31,180.0,290,290|70,290|70
1,6|9|15|37|42,180.0,334,334|26,334|26
1,6|10|12|18|39,180.0,167,167|193,167|193
1,6|10|14|22|39,180.0,51,51|309,51|309
1,6|10|23|31|34,180.0,250,250|110,250|110
1,6|11|12|17|40,180.0,281,281|79,281|79
1,6|12|14|15|38,180.0,127,127|233,127|233
1,6|12|15|26|35,180.0,133,133|227,133|227
1,6|12|16|21|33,180.0,222,222|138,222|138
1,6|13|15|26|31,180.0,179,179|181,179|181
1,6|14|21|28|35,180.0,14,14|346,14|346
1,6|14|25|29|42,180.0,69,69|291,69|291
1,6|14|32|34|42,180.0,327,327|33,327|33
1,6|15|19|27|42,180.0,245,245|115,245|115
1,6|16|20|24|30,180.0,226,226|134,226|134
1,6|17|23|27|32,180.0,283,283|77,283|77
1,6|17|24|39|43,180.0,158,158|202,158|202
1,6|17|31|32|41,180.0,233,233|127,233|127
1,6|19|23|25|41,180.0,111,111|249,111|249
1,6|19|25|28|36,180.0,358,358|2,358|2
1,6|20|25|27|43,180.0,267,267|93,267|93
1,6|20|33|36|41,180.0,202,202|158,202|158
1,6|22|25|28|40,180.0,166,166|194,166|194
1,6|22|33|36|41,180.0,161,161|199,161|199
1,6|27|32|40|42,180.0,121,121|239,121|239
1,6|29|34|41|42,180.0,120,120|240,120|240
1,7|8|18|25|43,180.0,239,239|121,239|121
1,7|9|16|24|31,180.0,177,177|183,177|183
1,7|10|24|31|43,180.0,284,284|76,284|76
1,7|11|16|30|35,180.0,17,17|343,17|343
1,7|11|23|41|43,180.0,319,319|41,319|41
1,7|14|16|18|36,180.0,43,43|317,43|317
1,7|16|18|37|40,180.0,271,271|89,271|89
1,7|16|19|20|37,180.0,95,95|265,95|265
1,7|17|18|30|33,180.0,266,266|94,266|94
1,7|18|23|31|36,180.0,22,22|338,22|338
1,7|20|36|42|43,180.0,259,259|101,259|101
1,7|22|25|36|37,180.0,119,119|241,119|241
1,7|22|29|32|41,180.0,351,351|9,351|9
1,7|23|24|34|39,180.0,336,336|24,336|24
1,7|23|30|33|36,180.0,337,337|23,337|23
1,7|24|29|30|38,180.0,28,28|332,28|332
1,7|37|38|39|41,180.0,253,253|107,253|107
1,8|9|19|23|38,180.0,216,216|144,216|144
1,8|11|13|18|27,180.0,93,93|267,93|267
1,8|11|15|35|40,180.0,54,54|306,54|306
1,8|11|17|23|39,180.0,247,247|113,247|113
1,8|11|22|35|41,180.0,234,234|126,234|126
1,8|12|16|21|27,180.0,38,38|322,38|322
1,8|12|20|36|40,180.0,350,350|10,350|10
1,8|12|22|29|39,180.0,300,300|60,300|60
1,8|14|17|23|37,180.0,82,82|278,82|278
1,8|14|20|22|42,180.0,291,291|69,291|69
1,8|15|28|38|42,180.0,178,178|182,178|182
1,8|16|19|35|41,180.0,321,321|39,321|39
1,8|16|25|36|37,180.0,208,208|152,208|152
1,8|17|21|25|40,180.0,201,201|159,201|159
1,8|17|26|27|31,180.0,21,21|339,21|339
1,8|19|22|25|38,180.0,83,83|277,83|277
1,8|19|25|36|38,180.0,59,59|301,59|301
1,8|20|32|36|40,180.0,199,199|161,199|161
1,8|23|24|32|36,180.0,269,269|91,269|91
1,8|24|26|33|35,180.0,213,213|147,213|147
1,9|12|16|18|34,180.0,246,246|114,246|114
1,9|12|18|32|38,180.0,275,275|85,275|85
1,9|12|18|37|41,180.0,299,299|61,299|61
1,9|12|23|33|36,180.0,45,45|315,45|315
1,9|12|31|33|43,180.0,129,129|231,129|231
1,9|13|18|19|33,180.0,124,124|236,124|236
1,9|13|31|33|41,180.0,185,185|175,185|175
1,9|14|25|26|37,180.0,183,183|177,183|177
1,9|14|28|33|43,180.0,200,200|160,200|160
1,9|15|19|27|30,180.0,262,262|98,262|98
1,9|16|20|28|37,180.0,143,143|217,143|217
1,9|17|28|31|40,180.0,53,53|307,53|307
1,9|17|28|35|38,180.0,10,10|350,10|350
1,9|19|20|36|37,180.0,3,3|357,3|357
1,9|20|24|31|33,180.0,344,344|16,344|16
1,10|11|15|28|35,180.0,77,77|283,77|283
1,10|11|15|31|38,180.0,126,126|234,126|234
1,10|11|37|40|41,180.0,16,16|344,16|344
1,10|12|13|32|38,180.0,196,196|164,196|164
1,10|12|16|17|27,180.0,256,256|104,256|104
1,10|12|25|27|41,180.0,118,118|242,118|242
1,10|12|34|35|36,180.0,221,221|139,221|139
1,10|13|22|26|42,180.0,34,34|326,34|326
1,10|14|18|20|33,180.0,265,265|95,265|95
1,10|14|19|39|41,180.0,182,182|178,182|178
1,10|14|20|21|41,180.0,210,210|150,210|150
1,10|14|27|35|41,180.0,136,136|224,136|224
1,10|14|29|30|42,180.0,184,184|176,184|176
1,10|15|16|29|39,180.0,87,87|273,87|273
1,10|15|20|32|41,180.0,67,67|293,67|293
1,10|16|18|35|40,180.0,340,340|20,340|20
1,10|16|19|23|34,180.0,317,317|43,317|43
1,10|17|24|29|43,180.0,152,152|208,152|208
1,10|17|24|37|42,180.0,318,318|42,318|42
1,10|18|19|36|43,180.0,254,254|106,254|106
1,10|18|21|24|43,180.0,20,20|340,20|340
1,10|20|21|34|36,180.0,13,13|347,13|347
1,10|20|25|28|30,180.0,123,123|237,123|237
1,10|23|25|26|33,180.0,274,274|86,274|86
1,10|25|29|35|37,180.0,138,138|222,138|222
1,11|12|25|33|39,180.0,238,238|122,238|122
1,11|12|39|40|43,180.0,251,251|109,251|109
1,11|14|20|30|34,180.0,112,112|248,112|248
1,11|15|23|24|25,180.0,294,294|66,294|66
1,11|18|23|32|40,180.0,301,301|59,301|59
1,11|18|29|35|37,180.0,115,115|245,115|245
1,11|19|27|28|37,180.0,354,354|6,354|6
1,11|19|29|36|40,180.0,89,89|271,89|271
1,11|20|21|23|32,180.0,197,197|163,197|163
1,11|20|21|38|40,180.0,58,58|302,58|302
1,11|21|27|41|43,180.0,206,206|154,206|154
1,11|21|31|32|39,180.0,307,307|53,307|53
1,11|21|33|39|43,180.0,84,84|276,84|276
1,11|23|33|36|42,180.0,293,293|67,293|67
1,12|13|15|18|31,180.0,280,280|80,280|80
1,12|13|23|35|39,180.0,248,248|112,248|112
1,12|13|25|31|42,180.0,349,349|11,349|11
1,12|15|16|38|39,180.0,86,86|274,86|274
1,12|19|20|29|43,180.0,99,99|261,99|261
1,12|19|22|35|38,180.0,355,355|5,355|5
1,12|19|27|28|41,180.0,279,279|81,279|81
1,12|22|30|31|34,180.0,72,72|288,72|288
1,12|25|32|33|41,180.0,230,230|130,230|130
1,13|15|18|26|43,180.0,325,325|35,325|35
1,13|15|24|33|40,180.0,260,260|100,260|100
1,13|16|28|34|37,180.0,249,249|111,249|111
1,13|20|26|29|40,180.0,346,346|14,346|14
1,13|20|28|35|40,180.0,306,306|54,306|54
1,13|22|27|40|41,180.0,9,9|351,9|351
1,13|25|30|36|41,180.0,42,42|318,42|318
1,13|29|30|40|42,180.0,24,24|336,24|336
1,14|15|20|25|40,180.0,335,335|25,335|25
1,14|20|24|25|39,180.0,190,190|170,190|170
1,14|25|28|37|41,180.0,330,330|30,330|30
1,14|27|34|37|43,180.0,255,255|105,255|105
1,14|30|35|37|40,180.0,288,288|72,288|72
1,15|16|18|19|37,180.0,328,328|32,328|32
1,15|16|24|26|32,180.0,134,134|226,134|226
1,15|18|24|34|39,180.0,155,155|205,155|205
1,15|20|25|29|43,180.0,304,304|56,304|56
1,15|21|25|26|31,180.0,298,298|62,298|62
1,15|21|26|28|36,180.0,353,353|7,353|7
1,15|27|28|41|42,180.0,187,187|173,187|173
1,15|28|31|32|35,180.0,270,270|90,270|90
1,15|28|36|37|41,180.0,360,360|0,360|0
1,16|17|21|22|43,180.0,174,174|186,174|186
1,16|18|19|21|38,180.0,175,175|185,175|185
1,16|18|26|37|42,180.0,50,50|310,50|310
1,16|20|29|33|40,180.0,237,237|123,237|123
1,16|28|37|42|43,180.0,75,75|285,75|285
1,17|18|20|27|29,180.0,90,90|270,90|270
1,17|18|33|41|42,180.0,114,114|246,114|246
1,17|21|32|36|37,180.0,71,71|289,71|289
1,17|23|25|29|31,180.0,292,292|68,292|68
1,17|26|27|28|40,180.0,309,309|51,309|51
1,17|26|28|29|42,180.0,264,264|96,264|96
1,17|27|37|38|40,180.0,219,219|141,219|141
1,18|20|21|35|43,180.0,160,160|200,160|200
1,18|22|32|37|39,180.0,341,341|19,341|19
1,18|23|28|33|35,180.0,109,109|251,109|251
1,18|24|28|36|40,180.0,27,27|333,27|333
1,18|27|38|40|41,180.0,310,310|50,310|50
1,18|34|37|39|41,180.0,273,273|87,273|87
1,19|20|24|34|43,180.0,64,64|296,64|296
1,19|20|28|40|42,180.0,4,4|356,4|356
1,19|20|34|38|39,180.0,204,204|156,204|156
1,19|22|29|38|39,180.0,312,312|48,312|48
1,19|23|26|30|36,180.0,104,104|256,104|256
1,19|25|28|31|40,180.0,170,170|190,170|190
1,19|26|33|34|42,180.0,207,207|153,207|153
1,20|22|25|37|43,180.0,339,339|21,339|21
1,20|23|35|36|41,180.0,212,212|148,212|148
1,20|29|32|34|37,180.0,156,156|204,156|204
1,21|23|26|37|43,180.0,108,108|252,108|252
1,21|30|35|36|41,180.0,81,81|279,81|279
1,21|32|33|34|37,180.0,231,231|129,231|129
1,22|24|28|34|42,180.0,305,305|55,305|55
1,22|26|29|30|39,180.0,1,1|359,1|359
1,22|30|32|40|42,180.0,0,0|360,0|360
1,22|34|36|37|43,180.0,35,35|325,35|325
1,24|26|35|36|41,180.0,79,79|281,79|281
1,24|29|34|35|40,180.0,164,164|196,164|196
1,24|30|37|38|40,180.0,52,52|308,52|308
1,24|31|32|33|34,180.0,313,313|47,313|47
